,id,booklet,titlepage
0,70830,BOOKLETA,3
1,70993,BOOKLETA,3
2,71293,BOOKLETA,3
3,6799,BOOKLETA,3
4,72166,BOOKLETA,3
5,70773,BOOKLETA,3
6,70772,BOOKLETA,3
7,71225,BOOKLETA,3
8,70500,BOOKLETA,3
9,73380,BOOKLETA,3
10,69656,BOOKLETA,3
11,67290,BOOKLETA,3
12,67289,BOOKLETA,3
13,70647,BOOKLETA,3
14,RD-SG-4711,BOOKLETA,3
15,9138,BOOKLETA,3
16,1175,BOOKLETA,3
17,72597,BOOKLETA,3
18,9126-3126,BOOKLETB,3
19,1596,BOOKLETB,3
20,7184,BOOKLETB,3
21,1650,BOOKLETB,3
22,1927,BOOKLETB,3
23,5758,BOOKLETB,3
24,1305,BOOKLETB,3
25,9836,BOOKLETB,3
26,0355,BOOKLETB,3
27,0547,BOOKLETB,3
28,7799,BOOKLETB,3
29,1944,BOOKLETB,3
30,1945,BOOKLETB,3
31,9099,BOOKLETB,3
32,1581,BOOKLETB,3
33,2841,BOOKLETB,3
34,1426,BOOKLETB,3
35,1792,BOOKLETB,3
36,1246,BOOKLETB,3
37,2558,BOOKLETB,3
38,1495,BOOKLETB,3
39,2761,BOOKLETB,3
40,9812,BOOKLETB,3
41,9569,BOOKLETB,3
42,1101,BOOKLETB,3
43,2441,BOOKLETB,3
44,8225,BOOKLETB,3
45,75197,BOOKLETB,3
46,79631,BOOKLETB,3
47,78658,BOOKLETB,3
48,Redacted-AG-11.16.12B,BOOKLETB,3
49,76063,BOOKLETB,3
50,77814,BOOKLETB,3
51,Redacted-CSM-11.16.12B,BOOKLETB,3
52,78213,BOOKLETB,3
53,77650,BOOKLETB,3
54,77532,BOOKLETA,3
55,75262,BOOKLETB,3
56,Redacted-CS-11.16.12B,BOOKLETB,3
57,52578,BOOKLETB,3
58,78281,BOOKLETB,3
59,78250,BOOKLETB,3
60,69224,BOOKLETB,3
61,79194,BOOKLETA,3
62,80410,BOOKLETB,3
63,80411,BOOKLETB,3
64,78096,BOOKLETB,3
65,78470,BOOKLETB,3
66,76502,BOOKLETA,1
67,75191,BOOKLETA,1
68,74661,BOOKLETA,1
69,53802,BOOKLETA,1
70,75096,BOOKLETA,1
71,76613,BOOKLETA,1
72,75245,BOOKLETA,1
73,72094,BOOKLETA,1
74,68972,BOOKLETA,1
75,74551,BOOKLETA,1
76,70858,BOOKLETA,1
77,74025,BOOKLETA,1
78,55311,BOOKLETA,1
79,75826,BOOKLETA,1
80,73111,BOOKLETA,1
81,77637,BOOKLETB,3
82,76853,BOOKLETB,3
83,77751,BOOKLETB,3
84,80537,BOOKLETB,3
85,07576,BOOKLETB,3
86,63435,BOOKLETB,3
87,78388,BOOKLETB,3
88,78380,BOOKLETB,3
89,75288,BOOKLETB,3
90,78781,BOOKLETB,3
91,41315,BOOKLETB,3
92,76327,BOOKLETB,3
93,77577,BOOKLETB,3
94,78282,BOOKLETB,3
95,77589,BOOKLETB,3
96,75417,BOOKLETB,3
97,75211,BOOKLETB,3
98,61995,BOOKLETB,3
99,74679,BOOKLETB,3
100,75589,BOOKLETB,3
101,76893,BOOKLETB,3
102,75590,BOOKLETB,3
103,75426,BOOKLETB,3
104,74506,BOOKLETB,3
105,72950,BOOKLETB,3
106,77244,BOOKLETB,3
107,74945,BOOKLETB,3
108,49769,BOOKLETB,3
109,74745,BOOKLETB,3
110,75930,BOOKLETB,3
111,74741,BOOKLETB,3
112,72318,BOOKLETB,3
113,74652,BOOKLETB,3
114,75174,BOOKLETB,3
115,74133,BOOKLETB,3
116,75617,BOOKLETA,3
117,50312,BOOKLETA,3
118,35088,BOOKLETA,3
119,70510,BOOKLETA,3
120,73423,BOOKLETA,3
121,66051,BOOKLETA,3
122,73676,BOOKLETA,3
123,76502,BOOKLETA,3
124,75191,BOOKLETA,3
125,74370,BOOKLETA,3
126,75245,BOOKLETA,3
127,68972,BOOKLETA,3
128,70858,BOOKLETA,3
129,74025,BOOKLETA,3
130,73111,BOOKLETA,3
131,74248,BOOKLETA,3
132,74059,BOOKLETA,3
133,67226,BOOKLETA,3
134,74836,BOOKLETA,3
135,70338,BOOKLETA,3
136,73791,BOOKLETA,3
137,74429,BOOKLETA,3
138,75857,BOOKLETA,3
139,74193,BOOKLETA,3
140,75925,BOOKLETA,3
141,74634,BOOKLETA,3
142,71277,BOOKLETA,3
143,76524,BOOKLETA,3
144,74688,BOOKLETA,3
145,27262,BOOKLETA,3
146,75119,BOOKLETA,3
147,75911,BOOKLETA,3
148,74346,BOOKLETA,3
149,62874,BOOKLETA,3
150,74478,BOOKLETA,3
151,71453,BOOKLETA,3
152,74312,BOOKLETA,3
153,75525,BOOKLETA,3
154,71988,BOOKLETA,3
155,Redacted_04-12-12 A,BOOKLETA,3
156,74913,BOOKLETA,3
157,76726,BOOKLETA,3
158,74672,BOOKLETB,3
159,74248,BOOKLETB,3
160,74059,BOOKLETA,3
161,67226,BOOKLETB,3
162,74836,BOOKLETB,3
163,70338,BOOKLETB,3
164,73791,BOOKLETB,3
165,74429,BOOKLETB,3
166,75857,BOOKLETB,3
167,74340,BOOKLETB,3
168,76557,BOOKLETB,3
169,74193,BOOKLETB,3
170,74634,BOOKLETB,3
171,69826,BOOKLETB,3
172,76123,BOOKLETB,3
173,73717,BOOKLETB,3
174,76524,BOOKLETB,3
175,76893,BOOKLETB,3
176,75590,BOOKLETA,3
177,75426,BOOKLETA,2
178,74506,BOOKLETA,3
179,72950,BOOKLETA,3
180,74945,BOOKLETA,3
181,74745,BOOKLETA,3
182,74741,BOOKLETA,3
183,72318,BOOKLETA,3
184,75617,BOOKLETA,3
185,76298,BOOKLETB,3
186,68528,BOOKLETB,3
187,68472,BOOKLETB,3
188,74688,BOOKLETB,3
189,76952,BOOKLETB,3
190,74943,BOOKLETB,3
191,68617,BOOKLETB,3
192,70449,BOOKLETB,3
193,57179,BOOKLETB,3
194,76805,BOOKLETB,3
195,73113,BOOKLETB,3
196,RD-NS134711,BOOKLETA,3
197,71482,BOOKLETA,3
198,RD-NS472011,BOOKLETA,3
199,73285,BOOKLETA,3
200,74360,BOOKLETA,3
201,73780,BOOKLETA,3
202,74180,BOOKLETA,3
203,44653,BOOKLETA,3
204,67706,BOOKLETA,3
205,71565,BOOKLETA,3
206,73401-blank score sheet,BOOKLETA,3
207,64865,BOOKLETA,3
208,68251,BOOKLETA,3
209,73677,BOOKLETA,3
210,77829,BOOKLETA,3
211,80287,BOOKLETA,3
212,71542,BOOKLETA,3
213,78819,BOOKLETA,3
214,74951,BOOKLETA,3
215,79047,BOOKLETA,3
216,76543,BOOKLETA,3
217,74369,BOOKLETA,3
218,80188,BOOKLETA,3
219,79277,BOOKLETA,3
220,76145,BOOKLETA,3
221,74804,BOOKLETA,3
222,67808,BOOKLETA,3
223,78888,BOOKLETA,3
224,76123,BOOKLETA,3
225,63869,BOOKLETA,3
226,79207,BOOKLETA,3
227,1621,BOOKLETB,3
228,4360,BOOKLETB,3
229,3780,BOOKLETB,3
230,1482,BOOKLETB,3
231,3913,BOOKLETB,3
232,3285,BOOKLETB,3
233,2414,BOOKLETB,3
234,4653,BOOKLETB,3
235,0740,BOOKLETB,3
236,8251,BOOKLETB,3
237,2866-unmarked scoresheet,BOOKLETB,3
238,4865,BOOKLETB,3
239,3677,BOOKLETB,3
240,4180,BOOKLETB,3
241,7703,BOOKLETB,3
242,1565,BOOKLETB,3
243,1556,BOOKLETB,3
244,0921,BOOKLETB,3
245,0979,BOOKLETB,3
246,1727,BOOKLETB,3
247,9558,BOOKLETB,3
248,1304,BOOKLETB,3
249,1172,BOOKLETB,3
250,0694,BOOKLETB,3
251,1561,BOOKLETB,3
252,1367,BOOKLETB,3
253,6397,BOOKLETB,3
254,6368,BOOKLETB,3
255,73134,BOOKLETA,3
256,70538,BOOKLETA,3
257,75506,BOOKLETA,3
258,74340,BOOKLETA,3
259,75077,BOOKLETA,3
260,74144,BOOKLETA,3
261,77880,BOOKLETB,3
262,74653,BOOKLETA,3
263,76290,BOOKLETA,3
264,50452,BOOKLETA,3
265,70590,BOOKLETA,3
266,72595,BOOKLETA,3
267,76294,BOOKLETA,3
268,75549,BOOKLETA,3
269,75119_Unmatched,BOOKLETB,1
270,67842_Unmatched,BOOKLETB,1
271,62203-68203_Fri Am Gumbs TTCT,BOOKLETB,3
272,65435,BOOKLETB,1
273,75829,BOOKLETB,1
274,74978,BOOKLETB,1
275,75911,BOOKLETB,1
276,73981,BOOKLETB,1
277,76384,BOOKLETB,1
278,67262,BOOKLETB,1
279,74346,BOOKLETB,1
280,62874,BOOKLETA,1
281,74910,BOOKLETB,1
282,66934,BOOKLETA,1
283,76259,BOOKLETA,1
284,75903,BOOKLETA,1
285,69730,BOOKLETA,1
286,75038,BOOKLETA,1
287,66088_Unmatched,BOOKLETA,1
288,76243_Unmatched,BOOKLETA,1
289,75734_Unmatched,BOOKLETA,1
290,74281_Unmatched,BOOKLETA,1
291,73200_Unmatched,BOOKLETA,1
292,75783_Unmatched,BOOKLETA,1
293,74733_Unmatched,BOOKLETA,1
294,74723_Unmatched,BOOKLETA,1
295,71787_Unmatched,BOOKLETA,1
296,71596_Unmatched,BOOKLETA,1
297,70976_Unmatched,BOOKLETA,1
298,74589_Unmatched,BOOKLETA,1
299,75926_Unmatched,BOOKLETA,1
300,74738_Unmatched,BOOKLETA,1
301,71584-UM,BOOKLETB,1
302,69412-UM,BOOKLETB,1
303,75497-UM,BOOKLETB,1
304,64783-UM,BOOKLETB,1
305,70689-UM,BOOKLETB,1
306,75575-UM,BOOKLETB,1
307,75048-UM,BOOKLETB,1
308,65960-UM,BOOKLETB,1
309,71565_UM,BOOKLETB,1
310,67200-UM,BOOKLETB,1
311,75422-UM,BOOKLETB,1
312,70686-UM,BOOKLETB,1
313,74881,BOOKLETA,1
314,75726,BOOKLETA,1
315,74370,BOOKLETA,1
316,74137,BOOKLETA,1
317,71488-UM,BOOKLETA,1
318,52578-UM,BOOKLETA,1
319,76486-UM,BOOKLETA,1
320,70441-UM,BOOKLETA,1
321,74440-UM,BOOKLETA,1
322,69371-UM,BOOKLETA,1
323,68082-UM,BOOKLETA,1
324,32761-UM,BOOKLETA,1
325,75666-UM,BOOKLETA,1
326,75532_Unmatched,BOOKLETB,1
327,76345_Unmatched,BOOKLETB,1
328,74748_Unmatched,BOOKLETB,1
329,71246,BOOKLETB,1
330,69433,BOOKLETB,1
331,73534,BOOKLETB,1
332,66412,BOOKLETB,1
333,6456,BOOKLETB,1
334,71558,BOOKLETB,1
335,75925,BOOKLETB,1
336,74768,BOOKLETB,1
337,61601,BOOKLETB,1
338,75406,BOOKLETB,1
339,708985,BOOKLETB,1
340,75589,BOOKLETB,1
341,8956,BOOKLETB,1
342,2704,BOOKLETA,1
343,8177,BOOKLETA,1
344,8159,BOOKLETA,1
345,1354,BOOKLETA,1
346,7540,BOOKLETA,1
347,8117,BOOKLETA,1
348,1662,BOOKLETA,1
349,0753,BOOKLETA,1
350,7844,BOOKLETA,1
351,8178,BOOKLETA,1
352,8956,BOOKLETB,1
353,2704,BOOKLETB,1
354,1345,BOOKLETB,1
355,8177,BOOKLETB,1
356,8159,BOOKLETB,1
357,9287,BOOKLETB,1
358,1235,BOOKLETB,1
359,7540,BOOKLETB,1
360,8117,BOOKLETB,1
361,7183,BOOKLETB,1
362,8337,BOOKLETB,1
363,1662,BOOKLETB,1
364,0753,BOOKLETB,1
365,7885,BOOKLETB,1
366,6754,BOOKLETB,1
367,2082,BOOKLETB,1
368,7844,BOOKLETB,1
369,8178,BOOKLETB,1
370,8743,BOOKLETB,1
371,8621,BOOKLETB,1
372,1033,BOOKLETA,1
373,1636,BOOKLETA,1
374,9441,BOOKLETA,1
375,0172,BOOKLETA,1
376,5224,BOOKLETA,1
377,1322,BOOKLETB,1
378,8900,BOOKLETA,1
379,5611,BOOKLETA,1
380,0782,BOOKLETA,1
381,8292,BOOKLETA,1
382,1103,BOOKLETA,1
383,7439,BOOKLETA,1
384,2420,BOOKLETA,1
385,1603,BOOKLETA,1
386,2257,BOOKLETA,1
387,7466,BOOKLETA,1
388,9107,BOOKLETA,1
389,1033,BOOKLETB,1
390,1636,BOOKLETB,1
391,9441,BOOKLETB,1
392,0172,BOOKLETB,1
393,5224,BOOKLETB,1
394,1322,BOOKLETB,1
395,8900,BOOKLETB,1
396,1925,BOOKLETB,1
