path,blank_sim,id,contrast_factor,crop_bottom,test,task,activity
../../data/outputs/bookleta/activity2b/94fd1-71561.jpg,0.97943395,94fd1-71561,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9cf64-79099.jpg,0.7440326,9cf64-79099,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/c6e72-74881.jpg,0.8835682,c6e72-74881,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/94fd1-70694.jpg,0.74555486,94fd1-70694,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d9583-66934.jpg,0.73199165,d9583-66934,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/65a68-68251.jpg,0.92621475,65a68-68251,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9b50a-53802.jpg,0.8346826,9b50a-53802,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9508e-68724.jpg,0.82760787,9508e-68724,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-69221.jpg,0.8882688,dbfa7-69221,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/060f1-67289.jpg,0.82837003,060f1-67289,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/94fd1-71367.jpg,0.900759,94fd1-71367,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/214b9-71565.jpg,0.85509604,214b9-71565,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/ce6fd-54313.jpg,0.7858933,ce6fd-54313,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/a718a-78470.jpg,0.7988756,a718a-78470,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-75077.jpg,0.83700085,6544f-75077,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9b50a-74661.jpg,0.6442356,9b50a-74661,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b5b5f-79047.jpg,0.7183098,b5b5f-79047,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9508e-47261.jpg,0.73996264,9508e-47261,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/39dc2-75204.jpg,0.77073276,39dc2-75204,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-74340.jpg,0.78408957,6544f-74340,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/b238c-75288.jpg,0.74842954,b238c-75288,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/2953c-71101.jpg,0.8987012,2953c-71101,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6771d-74742.jpg,0.83789146,6771d-74742,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6544f-75506.jpg,0.8229188,6544f-75506,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-8292.jpg,0.68645364,6dcd4-8292,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/20479-35088.jpg,0.81421494,20479-35088,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/dbfa7-77803.jpg,0.6552123,dbfa7-77803,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/9b50a-75191.jpg,0.8186787,9b50a-75191,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/6dcd4-1103.jpg,0.84697723,6dcd4-1103,4,False,ttct,bookleta,activity2b
../../data/outputs/bookleta/activity2b/d5c10-73111.jpg,0.7980188,d5c10-73111,4,False,ttct,bookleta,activity2b
