test,path,id,booklet,elaboration_raw,activity
ttct,../../data/outputs/bookleta/activity2b/94fd1-71561.jpg,94fd1-71561,bookleta,0.028029411764705883,activity2b
ttct,../../data/outputs/bookleta/activity2b/9cf64-79099.jpg,9cf64-79099,bookleta,0.12417647058823529,activity2b
ttct,../../data/outputs/bookleta/activity2b/c6e72-74881.jpg,c6e72-74881,bookleta,0.06338235294117647,activity2b
ttct,../../data/outputs/bookleta/activity2b/94fd1-70694.jpg,94fd1-70694,bookleta,0.20255882352941176,activity2b
ttct,../../data/outputs/bookleta/activity2b/d9583-66934.jpg,d9583-66934,bookleta,0.051941176470588234,activity2b
ttct,../../data/outputs/bookleta/activity2b/65a68-68251.jpg,65a68-68251,bookleta,0.02838235294117647,activity2b
ttct,../../data/outputs/bookleta/activity2b/9b50a-53802.jpg,9b50a-53802,bookleta,0.037088235294117644,activity2b
ttct,../../data/outputs/bookleta/activity2b/9508e-68724.jpg,9508e-68724,bookleta,0.0671764705882353,activity2b
ttct,../../data/outputs/bookleta/activity2b/dbfa7-69221.jpg,dbfa7-69221,bookleta,0.04576470588235294,activity2b
ttct,../../data/outputs/bookleta/activity2b/060f1-67289.jpg,060f1-67289,bookleta,0.21244117647058824,activity2b
ttct,../../data/outputs/bookleta/activity2b/94fd1-71367.jpg,94fd1-71367,bookleta,0.039588235294117646,activity2b
ttct,../../data/outputs/bookleta/activity2b/214b9-71565.jpg,214b9-71565,bookleta,0.04570588235294118,activity2b
ttct,../../data/outputs/bookleta/activity2b/ce6fd-54313.jpg,ce6fd-54313,bookleta,0.07820588235294118,activity2b
ttct,../../data/outputs/bookleta/activity2b/a718a-78470.jpg,a718a-78470,bookleta,0.03817647058823529,activity2b
ttct,../../data/outputs/bookleta/activity2b/6544f-75077.jpg,6544f-75077,bookleta,0.06188235294117647,activity2b
ttct,../../data/outputs/bookleta/activity2b/9b50a-74661.jpg,9b50a-74661,bookleta,0.11029411764705882,activity2b
ttct,../../data/outputs/bookleta/activity2b/b5b5f-79047.jpg,b5b5f-79047,bookleta,0.06026470588235294,activity2b
ttct,../../data/outputs/bookleta/activity2b/9508e-47261.jpg,9508e-47261,bookleta,0.14773529411764705,activity2b
ttct,../../data/outputs/bookleta/activity2b/39dc2-75204.jpg,39dc2-75204,bookleta,0.042176470588235294,activity2b
ttct,../../data/outputs/bookleta/activity2b/6544f-74340.jpg,6544f-74340,bookleta,0.07429411764705883,activity2b
ttct,../../data/outputs/bookleta/activity2b/b238c-75288.jpg,b238c-75288,bookleta,0.06173529411764706,activity2b
ttct,../../data/outputs/bookleta/activity2b/2953c-71101.jpg,2953c-71101,bookleta,0.037088235294117644,activity2b
ttct,../../data/outputs/bookleta/activity2b/6771d-74742.jpg,6771d-74742,bookleta,0.03997058823529412,activity2b
ttct,../../data/outputs/bookleta/activity2b/6544f-75506.jpg,6544f-75506,bookleta,0.08879411764705883,activity2b
ttct,../../data/outputs/bookleta/activity2b/6dcd4-8292.jpg,6dcd4-8292,bookleta,0.054705882352941174,activity2b
ttct,../../data/outputs/bookleta/activity2b/20479-35088.jpg,20479-35088,bookleta,0.08761764705882354,activity2b
ttct,../../data/outputs/bookleta/activity2b/dbfa7-77803.jpg,dbfa7-77803,bookleta,0.10902941176470589,activity2b
ttct,../../data/outputs/bookleta/activity2b/9b50a-75191.jpg,9b50a-75191,bookleta,0.06182352941176471,activity2b
ttct,../../data/outputs/bookleta/activity2b/6dcd4-1103.jpg,6dcd4-1103,bookleta,0.07355882352941176,activity2b
ttct,../../data/outputs/bookleta/activity2b/d5c10-73111.jpg,d5c10-73111,bookleta,0.033558823529411766,activity2b
