img_path,task,activity,id,F,O,T,E,R,C,name
../data/outputs/test1/activity1/060f1-1175.jpg,bookleta,activity1,060f1-1175,,,,,,,cozmo
../data/outputs/test1/activity1/060f1-67289.jpg,bookleta,activity1,060f1-67289,,1.0,1.0,12.0,,2,king of bats
../data/outputs/test1/activity1/060f1-67290.jpg,bookleta,activity1,060f1-67290,,1.0,2.0,10.0,,2,sunflower in the sun
../data/outputs/test1/activity1/060f1-6799.jpg,bookleta,activity1,060f1-6799,,,0.0,3.0,,2,batman
../data/outputs/test1/activity1/060f1-69656.jpg,bookleta,activity1,060f1-69656,,1.0,3.0,3.0,,2,unique kind
../data/outputs/test1/activity1/060f1-70500.jpg,bookleta,activity1,060f1-70500,,1.0,1.0,3.0,,2,ice cream cone
../data/outputs/test1/activity1/060f1-70647.jpg,bookleta,activity1,060f1-70647,,1.0,2.0,27.0,,2,why did the chicken
../data/outputs/test1/activity1/060f1-70772.jpg,bookleta,activity1,060f1-70772,,0.0,2.0,,,2,baby boom
../data/outputs/test1/activity1/060f1-70773.jpg,bookleta,activity1,060f1-70773,,0.0,1.0,,,,mr. potato head
../data/outputs/test1/activity1/060f1-70830.jpg,bookleta,activity1,060f1-70830,,1.0,1.0,2.0,,2,
../data/outputs/test1/activity1/060f1-70993.jpg,bookleta,activity1,060f1-70993,,1.0,,2.0,,2,sword
../data/outputs/test1/activity1/060f1-71225.jpg,bookleta,activity1,060f1-71225,,1.0,2.0,2.0,,2,garden of life
../data/outputs/test1/activity1/060f1-71293.jpg,bookleta,activity1,060f1-71293,,1.0,,6.0,,1,black easter egg
../data/outputs/test1/activity1/060f1-72166.jpg,bookleta,activity1,060f1-72166,,1.0,1.0,2.0,,2,the slow
../data/outputs/test1/activity1/060f1-72597.jpg,bookleta,activity1,060f1-72597,,1.0,1.0,0.0,,2,brittle
../data/outputs/test1/activity1/060f1-73380.jpg,bookleta,activity1,060f1-73380,,1.0,0.0,1.0,,2,sonogram
../data/outputs/test1/activity1/060f1-9138.jpg,bookleta,activity1,060f1-9138,,1.0,1.0,15.0,,2,gobble-gobble
../data/outputs/test1/activity1/060f1-RD-SG-4711.jpg,bookleta,activity1,060f1-RD-SG-4711,,1.0,1.0,13.0,,2,
../data/outputs/test1/activity1/08d53-74137.jpg,bookleta,activity1,08d53-74137,,1.0,2.0,22.0,,,under the sea
../data/outputs/test1/activity1/08d53-74370.jpg,bookleta,activity1,08d53-74370,,0.0,0.0,26.0,,,
../data/outputs/test1/activity1/08d53-74881.jpg,bookleta,activity1,08d53-74881,,0.0,3.0,10.0,,,non-perfection is perfect
../data/outputs/test1/activity1/08d53-75726.jpg,bookleta,activity1,08d53-75726,,1.0,0.0,12.0,,,
../data/outputs/test1/activity1/20479-35088.jpg,bookleta,activity1,20479-35088,,,,2.0,,3,
../data/outputs/test1/activity1/20479-50312.jpg,bookleta,activity1,20479-50312,,1.0,3.0,10.0,,2,view the world
../data/outputs/test1/activity1/20479-66051.jpg,bookleta,activity1,20479-66051,,,,18.0,,2,a butterfly
../data/outputs/test1/activity1/20479-70510.jpg,bookleta,activity1,20479-70510,,,,14.0,,2,duck in flight
../data/outputs/test1/activity1/20479-73423.jpg,bookleta,activity1,20479-73423,,,2.0,,,,mousie ded
../data/outputs/test1/activity1/20479-73676.jpg,bookleta,activity1,20479-73676,,,1.0,2.0,,2,a lost bug
../data/outputs/test1/activity1/214b9-65960.jpg,bookleta,activity1,214b9-65960,,0.0,1.0,18.0,,2,sad clown
../data/outputs/test1/activity1/214b9-67200.jpg,bookleta,activity1,214b9-67200,,1.0,0.0,5.0,,2,butterfly
../data/outputs/test1/activity1/214b9-70686.jpg,bookleta,activity1,214b9-70686,,1.0,1.0,8.0,,2,we hungry
../data/outputs/test1/activity1/214b9-71565.jpg,bookleta,activity1,214b9-71565,,1.0,2.0,8.0,,2,VI Cat
../data/outputs/test1/activity1/214b9-71584.jpg,bookleta,activity1,214b9-71584,,0.0,1.0,18.0,,1,stay
../data/outputs/test1/activity1/214b9-72632.jpg,bookleta,activity1,214b9-72632,,1.0,2.0,5.0,,2,the full moon
../data/outputs/test1/activity1/214b9-75037.jpg,bookleta,activity1,214b9-75037,,1.0,2.0,12.0,,2,
../data/outputs/test1/activity1/214b9-75098.jpg,bookleta,activity1,214b9-75098,,,,,,,the black egg
../data/outputs/test1/activity1/214b9-75497.jpg,bookleta,activity1,214b9-75497,,1.0,1.0,10.0,,2,shooting star
../data/outputs/test1/activity1/214b9-75575-Score Sheet-NO ID.jpg,bookleta,activity1,214b9-75575-Score Sheet-NO ID,,0.0,3.0,40.0,,2,mutated
../data/outputs/test1/activity1/214b9-75900.jpg,bookleta,activity1,214b9-75900,,,,,,,
../data/outputs/test1/activity1/21ac7-27262.jpg,bookleta,activity1,21ac7-27262,,0.0,2.0,51.0,,1,hillbilly's
../data/outputs/test1/activity1/21ac7-62874.jpg,bookleta,activity1,21ac7-62874,,0.0,2.0,9.0,,1,birds nest
../data/outputs/test1/activity1/21ac7-74346.jpg,bookleta,activity1,21ac7-74346,,1.0,2.0,5.0,,2,stone in a container
../data/outputs/test1/activity1/21ac7-74478.jpg,bookleta,activity1,21ac7-74478,,1.0,1.0,28.0,,2,velsame rocket
../data/outputs/test1/activity1/21ac7-74688.jpg,bookleta,activity1,21ac7-74688,,1.0,2.0,32.0,,2,treasure hunt
../data/outputs/test1/activity1/21ac7-75119.jpg,bookleta,activity1,21ac7-75119,,0.0,2.0,36.0,,2,
../data/outputs/test1/activity1/21ac7-75911.jpg,bookleta,activity1,21ac7-75911,,,,,,,planton
../data/outputs/test1/activity1/21e0e-66530.jpg,bookleta,activity1,21e0e-66530,,1.0,2.0,2.0,,2,
../data/outputs/test1/activity1/21e0e-71234.jpg,bookleta,activity1,21e0e-71234,,1.0,2.0,8.0,,2,the lovely butterfly
../data/outputs/test1/activity1/21e0e-74411.jpg,bookleta,activity1,21e0e-74411,,0.0,2.0,8.0,,1,a pirates
