task,activity,pdf_path,error,F,O,T,E,R,C,B,name,id
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/62874.pdf,,,1,3,15,,2,,Ice cream cone on a summer day,0f3ce-62874
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/65435.pdf,,,1,0,1,,2,,Bridge,0f3ce-65435
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/67262.pdf,,,1,3,36,,2,,Darkness tells the tale of what's beyond,0f3ce-67262
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/73981.pdf,,,0,3,20,,2,,Oppsites on the American Seas,0f3ce-73981
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/74346.pdf,,,0,3,4,,1,,A hat for hot summer days,0f3ce-74346
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/74910.pdf,,,1,3,9,,2,,The karma fruit,0f3ce-74910
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/74978.pdf,,,1,3,20,,2,,Peanut  Bag,0f3ce-74978
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/75829.pdf,,,1,3,31,,2,,An Outer world,0f3ce-75829
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/75911.pdf,,,0,3,8,,2,,oscar meyer falls down the stairs,0f3ce-75911
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/Thursday Am Nemeth FSi1 203_UM/76384.pdf,,,1,3,18,,2,,The excited kid,0f3ce-76384
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1101.pdf,,,1,1,19,,2,,Class clown,1a0c5-1101
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1246.pdf,,,1,3,23,,2,,Never settle for less,1a0c5-1246
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1426.pdf,,,1,3,20,,2,,My minds expedition,1a0c5-1426
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1495.pdf,,,1,2,22,,2,,Loud Mouth Tiffany,1a0c5-1495
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1581.pdf,,,,,,,,,Chille Bean,1a0c5-1581
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/1792.pdf,,,1,3,11,,2,,The Revenge of Snoopy,1a0c5-1792
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2441.pdf,,,1,0,12,,2,,,1a0c5-2441
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2558.pdf,,,1,3,20,,2,,The Lonely Butterfly,1a0c5-2558
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2761.pdf,,,,,,,,,Peanut,1a0c5-2761
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/2841.pdf,,,1,1,6,,1,,An Unoriginal,1a0c5-2841
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/8225.pdf,,,1,0,12,,1,,,1a0c5-8225
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/9569.pdf,,,1,3,12,,2,,What unspeakable horrors is this car going to get in when it hits that black hole,1a0c5-9569
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E1L1/9812.pdf,,,1,1,16,,2,,Clown FACE,1a0c5-9812
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/0312.pdf,,,1,2,48,,2,,The duck pond,3b845-0312
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/0510.pdf,,,0,2,30,,2,,Instincts,3b845-0510
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/1629.pdf,,,1,3,17,,2,,A man finding a pot gold,3b845-1629
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/1724.pdf,,,1,3,25,,2,,Anngry because he lost his nose,3b845-1724
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/3423.pdf,,,0,2,2,,0,,Hot digidy dog digidy,3b845-3423
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/3676.pdf,,,1,1,33,,2,,Mr. Picked Head,3b845-3676
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/3834.pdf,,,1,3,4,,1,,Car being towed by truck being tow by bigger Truck over the hot dog bun,3b845-3834
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/5088.pdf,,,1,0,21,,2,,,3b845-5088
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/5383.pdf,,,1,3,14,,2,,screaming homeless man,3b845-5383
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/6051.pdf,,,1,3,36,,2,,A butterfly in a flowery garden,3b845-6051
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/6799.pdf,,,1,2,4,,1,,A building thunder storm with rain falling,3b845-6799
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/7801.pdf,,,1,2,15,,2,,Moonlight purse,3b845-7801
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/9055.pdf,,,1,1,4,,1,,The Sunshine,3b845-9055
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L3/k118.pdf,,,1,2,17,,2,,I do ch'ldred parties,3b845-k118
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/52578.pdf,,,0,0,0,,0,,An insect,4d7be-52578
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/75197.pdf,,,1,1,2,,2,,The Start of a New Plant Life,4d7be-75197
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/75262.pdf,,,0,1,0,,0,,The world's biggest Ant,4d7be-75262
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/76063.pdf,,,1,1,2,,1,,When boredom strikes,4d7be-76063
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/77532.pdf,,,1,1,0,,1,,The beauty within,4d7be-77532
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/77650.pdf,,,1,1,4,,0,,Bam-Bam-Bam-bam,4d7be-77650
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/77814.pdf,,,0,2,2,,0,,The mystery of the unique butterfly,4d7be-77814
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78213.pdf,,,0,1,0,,0,,Big Bear,4d7be-78213
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78250.pdf,,,0,2,3,,0,,Don't spill the Beans!!,4d7be-78250
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78281.pdf,,,0,2,12,,0,,Dazzling Butterfly,4d7be-78281
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/78658.pdf,,,0,3,6,,0,,Butterfly invasion,4d7be-78658
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/79631.pdf,,,1,1,0,,2,,Avocado,4d7be-79631
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/Redacted-AG-11.16.12B.pdf,,,1,2,3,,5,,All You Can Eat Buffet,4d7be-Redacted-AG-11.16.12B
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/Redacted-AG-11.16.12B.pdf,,,0,1,4,,0,,Butterfly On the flower of Joy,4d7be-Redacted-AG-11.16.12B
bookletb,activity1,../../data/ttct_figural/Fri Am McCammon TTCT Fall 2012/Redacted-CSM-11.16.12B.pdf,,,1,1,1,,4,,Hot Doggy Dog,4d7be-Redacted-CSM-11.16.12B
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/66910.pdf,,,1,1,0,,1,,Happy Boy,4ecff-66910
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/67081.pdf,,,1,2,1,,2,,The man with a hot doge nose,4ecff-67081
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/70689.pdf,,,1,3,0,,2,,Mystery clown,4ecff-70689
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/70737.pdf,,,1,1,5,,1,,Anime face,4ecff-70737
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/72516.pdf,,,0,1,2,,1,,The curved flower,4ecff-72516
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/73110.pdf,,,1,1,2,,1,,,4ecff-73110
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/73297.pdf,,,1,1,0,,1,,The crazy drooler,4ecff-73297
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/73737.pdf,,,0,1,2,,0,,Hot Weeny & soft buns,4ecff-73737
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/76355.pdf,,,1,2,3,,1,,A scream a day relieves the stress,4ecff-76355
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/77978.pdf,,,0,1,1,,0,,My kind of pace,4ecff-77978
bookletb,activity1,../../data/ttct_figural/THU PM Drost Post TTCT Fall 2012/77978.pdf,,,0,3,3,,2,,Goose Drag a Deadline Doodle ??,4ecff-77978
bookletb,activity1,../../data/ttct_figural/Sunday AM Mills TTCT Post Fall12/78470.pdf,,,0,1,2,,1,,Eggplant in the sun,5df6c-78470
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/0500.pdf,,,1,1,11,,2,,A cow,6a8fe-0500
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/0647.pdf,,,1,2,24,,2,,One hot summer day,6a8fe-0647
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/0772.pdf,,,1,2,30,,2,,Rocking the cradle,6a8fe-0772
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/0773.pdf,,,0,2,10,,2,,America's favorite food!,6a8fe-0773
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/0830.pdf,,,1,3,3,,2,,seed of hope,6a8fe-0830
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/0993.pdf,,,1,1,10,,1,,Swinger Girl,6a8fe-0993
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/1225.pdf,,,1,2,25,,1,,Island's Paradise,6a8fe-1225
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/1293.pdf,,,0,3,2,,1,,the odd jelly bean out,6a8fe-1293
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/1938.pdf,,,1,2,2,,1,,The bean shaped pool,6a8fe-1938
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/2166.pdf,,,1,1,1,,0,,The pond,6a8fe-2166
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/2597.pdf,,,0,3,17,,2,,The Columbian Bean Ship,6a8fe-2597
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/3380.pdf,,,1,3,1,,1,,The mysterious sonogram,6a8fe-3380
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/7289.pdf,,,1,3,12,,1,,The Buss of a lifetime,6a8fe-7289
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/7290.pdf,,,1,3,5,,1,,The flower within,6a8fe-7290
bookletb,activity1,../../data/ttct_figural/TTCT Pre ASS SS2011 E0L1/9656.pdf,,,1,2,4,,2,,Yummy in my tummy,6a8fe-9656
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/34179.pdf,,,1,3,21,,2,,Paradise far away,06d28-34179
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/73874.pdf,,,1,3,14,,2,,The Andy and the ant's journey,06d28-73874
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/74020.pdf,,,1,3,8,,2,,Shy Emily,06d28-74020
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/74844.pdf,,,1,3,29,,2,,Dead man waiting,06d28-74844
bookletb,activity1,../../data/ttct_figural/Unmatched/Booklets/THU PM Nemeth FSII TTCT_UM/75133.pdf,,,1,3,14,,2,,Human Butterfly,06d28-75133
